Team,GP,W,D,L,F,A,GD,P,Rank
Burnley,46,29,14,3,87,35,52,101,1
Sheffield United,46,28,7,11,73,39,34,91,2
Luton Town,46,21,17,8,57,39,18,80,3
Middlesbrough,46,22,9,15,84,56,28,75,4
Coventry City,46,18,16,12,58,46,12,70,5
Sunderland,46,18,15,13,68,55,13,69,6
Blackburn Rovers,46,20,9,17,52,54,-2,69,7
Millwall,46,19,11,16,57,50,7,68,8
West Bromwich Albion,46,18,12,16,59,53,6,66,9
Swansea City,46,18,12,16,68,64,4,66,10
Watford,46,16,15,15,56,53,3,63,11
Preston North End,46,17,12,17,45,59,-14,63,12
Norwich City,46,17,11,18,57,54,3,62,13
Bristol City,46,15,14,17,55,56,-1,59,14
Hull City,46,14,16,16,51,61,-10,58,15
Stoke City,46,14,11,21,55,54,1,53,16
Birmingham City,46,14,11,21,47,58,-11,53,17
Huddersfield Town,46,14,11,21,47,62,-15,53,18
otherham United,46,11,17,18,49,60,-11,50,19
Queens Park Rangers,46,13,11,22,44,71,-27,50,20
Cardiff City,46,13,10,23,41,58,-17,49,21
Reading,46,13,11,22,46,68,-22,44,22
Blackpool,46,11,11,24,48,72,-24,44,23
Wigan Athletic,46,10,15,21,38,65,-27,42,24
